Symbol,Date,VOL,Open,High,Low,Close,Volume
ES=F,2026-09-21 08:27:00,,7760.25,7760.75,7759,7759.75,1000
ES=F,2026-09-21 08:28:00,,7759.75,7760,7758.75,7758.75,1940
ES=F,2026-09-21 08:29:00,,7758.75,7760.75,7758.75,7760.25,1515
ES=F,2026-09-21 08:30:00,,7760.5,7764.5,7760.25,7763.75,9916
ES=F,2026-09-21 08:31:00,,7763.75,7764,7758.25,7759.5,6105
ES=F,2026-09-21 08:32:00,,7759.25,7761.75,7758.25,7761.25,4369
ES=F,2026-09-21 08:33:00,,7761.25,7764,7760.25,7761.5,4298
ES=F,2026-09-21 08:34:00,,7761.5,7763.25,7761,7761.75,3396
ES=F,2026-09-21 08:35:00,,7762,7764.75,7761.25,7764.25,4323
ES=F,2026-09-21 08:36:00,,7764.25,7764.5,7761.5,7762.5,3371
ES=F,2026-09-21 08:37:00,,7762.5,7765,7761.25,7764.5,3277
ES=F,2026-09-21 08:38:00,,7764.5,7764.5,7762.75,7764,2711
ES=F,2026-09-21 08:39:00,,7763.75,7764.75,7763.5,7764.5,2191
ES=F,2026-09-21 08:40:00,,7764.25,7765.5,7763,7763.5,3681
ES=F,2026-09-21 08:41:00,,7763.5,7764.25,7763,7763.5,2670
ES=F,2026-09-21 08:42:00,,7763.75,7763.75,7762.25,7762.5,2241
ES=F,2026-09-21 08:43:00,,7762.5,7764.75,7762.25,7763.25,2529
ES=F,2026-09-21 08:44:00,,7763.25,7766.25,7763,7766,2908
ES=F,2026-09-21 08:45:00,,7766.25,7768.75,7765.75,7768.25,5721
ES=F,2026-09-21 08:46:00,,7768.25,7769.25,7766.75,7768.75,4303
ES=F,2026-09-21 08:47:00,,7768.75,7768.75,7767,7767.25,2303
ES=F,2026-09-21 08:48:00,,7767.25,7768.25,7766,7767.25,2108
ES=F,2026-09-21 08:49:00,,7767,7767.75,7766.5,7767.75,1809
ES=F,2026-09-21 08:50:00,,7767.75,7768.25,7767.25,7768,2218
ES=F,2026-09-21 08:51:00,,7768,7769,7767.5,7769,2391
ES=F,2026-09-21 08:52:00,,7769,7772,7769,7770.75,4748
ES=F,2026-09-21 08:53:00,,7771,7771.5,7770.5,7771.5,2003
ES=F,2026-09-21 08:54:00,,7771.5,7773.25,7771,7773,3459
ES=F,2026-09-21 08:55:00,,7772.75,7773,7771,7772,2948
ES=F,2026-09-21 08:56:00,,7772,7772,7770.5,7771.25,2192
ES=F,2026-09-21 08:57:00,,7771,7773,7770.75,7773,3265
ES=F,2026-09-21 08:58:00,,7772.75,7773.5,7771.5,7772.25,2250
ES=F,2026-09-21 08:59:00,,7772.25,7775,7772,7774.75,2887
ES=F,2026-09-21 09:00:00,,7774.75,7774.75,7772.5,7773.25,3686
ES=F,2026-09-21 09:01:00,,7773.5,7776,7773,7773.5,4436
ES=F,2026-09-21 09:02:00,,7773.5,7774,7772,7773.75,2078
ES=F,2026-09-21 09:03:00,,7773.75,7774,7772.25,7772.5,2022
ES=F,2026-09-21 09:04:00,,7772.5,7773.25,7772.25,7772.25,2370
ES=F,2026-09-21 09:05:00,,7772.5,7772.75,7768.75,7769.5,4287
ES=F,2026-09-21 09:06:00,,7769.5,7770,7768.75,7769,2367
ES=F,2026-09-21 09:07:00,,7769,7770.5,7767.75,7770,2812
ES=F,2026-09-21 09:08:00,,7770,7772.25,7769.75,7772,2073
ES=F,2026-09-21 09:09:00,,7772,7772.5,7770.75,7771.5,3484
ES=F,2026-09-21 09:10:00,,7771.25,7774.25,7771.25,7773.25,4377
ES=F,2026-09-21 09:11:00,,7773,7773.5,7772,7772.75,3218
ES=F,2026-09-21 09:12:00,,7772.75,7775.5,7772.5,7774.25,3361
ES=F,2026-09-21 09:13:00,,7774.5,7776.75,7774,7776.25,3442
ES=F,2026-09-21 09:14:00,,7776.5,7777,7774.75,7775.5,3032
ES=F,2026-09-21 09:15:00,,7775.5,7778.25,7775.25,7778.25,3263
ES=F,2026-09-21 09:16:00,,7778.25,7781,7777.75,7780.5,4530
ES=F,2026-09-21 09:17:00,,7780.5,7781.75,7779.75,7781,3145
ES=F,2026-09-21 09:18:00,,7781,7782.75,7780.75,7782,2534
ES=F,2026-09-21 09:19:00,,7782.25,7782.25,7781,7782,2581
ES=F,2026-09-21 09:20:00,,7781.75,7782.75,7780.5,7780.75,2278
ES=F,2026-09-21 09:21:00,,7780.75,7786.5,7780.25,7786.25,6379
ES=F,2026-09-21 09:22:00,,7786.5,7788.75,7786.25,7788.5,6144
ES=F,2026-09-21 09:23:00,,7788.5,7789,7787.25,7788.75,3892
ES=F,2026-09-21 09:24:00,,7788.75,7789.5,7787.75,7788.5,3739
ES=F,2026-09-21 09:25:00,,7788.5,7789.75,7788,7789,3290
ES=F,2026-09-21 09:26:00,,7789,7790.25,7788,7789.5,2965
ES=F,2026-09-21 09:27:00,,7789.5,7789.5,7788.25,7789,3311
ES=F,2026-09-21 09:28:00,,7789.25,7791,7789,7789.25,3579
ES=F,2026-09-21 09:29:00,,7789.25,7790,7787.25,7788,3568
ES=F,2026-09-21 09:30:00,,7788.25,7789,7786.5,7789,3837
ES=F,2026-09-21 09:31:00,,7789,7790.25,7787.75,7790,3458
ES=F,2026-09-21 09:32:00,,7789.75,7790.75,7788.5,7790.5,3558
ES=F,2026-09-21 09:33:00,,7790.25,7791.5,7789.5,7790,2958
ES=F,2026-09-21 09:34:00,,7790,7790.25,7788.5,7789.25,2430
ES=F,2026-09-21 09:35:00,,7789.25,7790.25,7789,7789.75,2476
ES=F,2026-09-21 09:36:00,,7789.75,7791.5,7789.25,7790.75,2417
ES=F,2026-09-21 09:37:00,,7790.75,7793.5,7790.75,7792.75,3350
ES=F,2026-09-21 09:38:00,,7792.5,7793,7790.75,7790.75,2543
ES=F,2026-09-21 09:39:00,,7790.75,7791.25,7789.75,7790.75,3066
ES=F,2026-09-21 09:40:00,,7790.75,7791,7789.25,7790,2920
ES=F,2026-09-21 09:41:00,,7790.25,7793.25,7789.25,7790,5731
ES=F,2026-09-21 09:42:00,,7790,7790.25,7788.75,7788.75,2289
ES=F,2026-09-21 09:43:00,,7788.75,7789,7786.75,7787,3161
ES=F,2026-09-21 09:44:00,,7787.25,7788,7786.25,7787.75,3210
ES=F,2026-09-21 09:45:00,,7787.75,7787.75,7785,7785.25,3521
ES=F,2026-09-21 09:46:00,,7785.25,7787.25,7785.25,7787.25,2684
ES=F,2026-09-21 09:47:00,,7787.5,7789.75,7787,7789.5,3318
ES=F,2026-09-21 09:48:00,,7789.75,7790.75,7789.25,7790.5,2481
ES=F,2026-09-21 09:49:00,,7790.5,7790.5,7787.5,7787.75,2096
ES=F,2026-09-21 09:50:00,,7787.5,7788,7786.25,7786.5,2009
ES=F,2026-09-21 09:51:00,,7786.5,7787.75,7786.25,7787.25,1925
ES=F,2026-09-21 09:52:00,,7787,7788,7786.5,7787.25,1787
ES=F,2026-09-21 09:53:00,,7787.25,7787.5,7786.5,7786.75,1621
ES=F,2026-09-21 09:54:00,,7786.75,7790,7786.5,7789.75,2560
ES=F,2026-09-21 09:55:00,,7789.5,7789.75,7788.25,7788.75,1454
ES=F,2026-09-21 09:56:00,,7788.5,7789.75,7787.5,7789.75,1899
ES=F,2026-09-21 09:57:00,,7790,7791,7789.25,7791,2108
ES=F,2026-09-21 09:58:00,,7790.75,7792.25,7790,7791.75,2187
