Symbol,Date,VOL,Open,High,Low,Close,Volume
ES=F,2026-09-15 08:27:00,,7690,7690.25,7688.5,7689,1809
ES=F,2026-09-15 08:28:00,,7689,7689,7686.5,7686.75,1814
ES=F,2026-09-15 08:29:00,,7686.5,7686.5,7684.25,7684.25,3189
ES=F,2026-09-15 08:30:00,,7684.25,7687,7681,7682,16931
ES=F,2026-09-15 08:31:00,,7682,7683.25,7674.25,7674.75,10241
ES=F,2026-09-15 08:32:00,,7674.75,7676.25,7672.5,7675,7068
ES=F,2026-09-15 08:33:00,,7675,7676.75,7671,7671.25,6276
ES=F,2026-09-15 08:34:00,,7671,7673,7670.25,7672,6360
ES=F,2026-09-15 08:35:00,,7672,7677.5,7671.75,7676.75,7274
ES=F,2026-09-15 08:36:00,,7677,7679.75,7676.25,7678.25,7674
ES=F,2026-09-15 08:37:00,,7678.5,7680,7677.25,7677.5,9763
ES=F,2026-09-15 08:38:00,,7677.5,7681.75,7677.5,7681,4624
ES=F,2026-09-15 08:39:00,,7681,7681.5,7678.75,7681,3845
ES=F,2026-09-15 08:40:00,,7681,7681.5,7678.25,7681,5837
ES=F,2026-09-15 08:41:00,,7680.75,7681.5,7678,7679.5,6112
ES=F,2026-09-15 08:42:00,,7679.5,7680.25,7677.5,7677.5,3891
ES=F,2026-09-15 08:43:00,,7677.5,7679.75,7677,7679.5,2527
ES=F,2026-09-15 08:44:00,,7679.5,7683.25,7679.5,7682.5,4890
ES=F,2026-09-15 08:45:00,,7682.5,7684.75,7680.75,7680.75,9443
ES=F,2026-09-15 08:46:00,,7680.75,7681.5,7679.75,7680.5,3466
ES=F,2026-09-15 08:47:00,,7680.75,7680.75,7677.25,7678.25,4165
ES=F,2026-09-15 08:48:00,,7678.25,7678.25,7676,7676.25,5112
ES=F,2026-09-15 08:49:00,,7676.25,7676.75,7675,7676.25,4258
ES=F,2026-09-15 08:50:00,,7676.25,7677.5,7674.75,7675.5,5655
ES=F,2026-09-15 08:51:00,,7675.5,7678.25,7674.5,7677.75,3417
ES=F,2026-09-15 08:52:00,,7677.5,7680.25,7677,7679.75,4055
ES=F,2026-09-15 08:53:00,,7679.75,7680.5,7677.75,7680,3337
ES=F,2026-09-15 08:54:00,,7680,7680.5,7677.5,7679.5,3942
ES=F,2026-09-15 08:55:00,,7679.5,7680,7678,7678.5,3400
ES=F,2026-09-15 08:56:00,,7678.75,7679.25,7676.75,7677.75,3659
ES=F,2026-09-15 08:57:00,,7677.5,7678.75,7677.25,7678.25,2684
ES=F,2026-09-15 08:58:00,,7678.5,7679,7677,7678.25,4003
ES=F,2026-09-15 08:59:00,,7678.25,7679,7676.5,7678.25,3757
ES=F,2026-09-15 09:00:00,,7678.5,7678.5,7674.75,7675,4348
ES=F,2026-09-15 09:01:00,,7675,7675.5,7673.25,7674.75,4217
ES=F,2026-09-15 09:02:00,,7674.75,7675,7673,7673.25,3125
ES=F,2026-09-15 09:03:00,,7673.5,7674,7672,7672,2822
ES=F,2026-09-15 09:04:00,,7672.25,7674,7671,7671,5689
ES=F,2026-09-15 09:05:00,,7671,7673.75,7671,7672,4949
ES=F,2026-09-15 09:06:00,,7671.75,7672.75,7669.5,7669.5,4736
ES=F,2026-09-15 09:07:00,,7669.5,7670.5,7668,7670,4385
ES=F,2026-09-15 09:08:00,,7670.25,7670.5,7668,7668.5,4808
ES=F,2026-09-15 09:09:00,,7668.25,7668.75,7667.5,7668,2986
ES=F,2026-09-15 09:10:00,,7667.75,7667.75,7665.25,7665.5,7342
ES=F,2026-09-15 09:11:00,,7665.5,7665.75,7663,7664.25,4969
ES=F,2026-09-15 09:12:00,,7664.25,7664.75,7662.75,7664,5881
ES=F,2026-09-15 09:13:00,,7663.75,7665,7661.75,7662,4455
ES=F,2026-09-15 09:14:00,,7661.75,7663.5,7661.5,7662.25,7063
ES=F,2026-09-15 09:15:00,,7662.25,7664,7661.75,7663.25,4332
ES=F,2026-09-15 09:16:00,,7663.25,7664.5,7661.75,7662.25,7663
ES=F,2026-09-15 09:17:00,,7662.25,7665.25,7661.75,7665.25,5246
ES=F,2026-09-15 09:18:00,,7665,7667,7664,7665,5028
ES=F,2026-09-15 09:19:00,,7665,7666,7664,7664.75,4717
ES=F,2026-09-15 09:20:00,,7665,7666.25,7664,7665.5,3453
ES=F,2026-09-15 09:21:00,,7665.5,7665.5,7658.75,7658.75,4898
ES=F,2026-09-15 09:22:00,,7659,7659.5,7656.5,7656.75,6933
ES=F,2026-09-15 09:23:00,,7656.75,7657,7654,7654.25,7781
ES=F,2026-09-15 09:24:00,,7654.25,7659.25,7654,7658.75,6317
ES=F,2026-09-15 09:25:00,,7659,7659.75,7657.25,7658,7699
ES=F,2026-09-15 09:26:00,,7658,7658.75,7657,7658,4439
ES=F,2026-09-15 09:27:00,,7658.25,7659.25,7657,7657.5,3611
ES=F,2026-09-15 09:28:00,,7657.75,7659.75,7657.25,7659,2595
ES=F,2026-09-15 09:29:00,,7659,7659.25,7657,7657,4771
ES=F,2026-09-15 09:30:00,,7657.25,7658.75,7654.25,7654.5,5269
ES=F,2026-09-15 09:31:00,,7654.5,7658.5,7654.25,7658,5088
ES=F,2026-09-15 09:32:00,,7658,7658,7654.75,7655.5,3814
ES=F,2026-09-15 09:33:00,,7655.5,7658.75,7654.75,7655.75,4981
ES=F,2026-09-15 09:34:00,,7655.75,7656.5,7652,7655.75,6560
ES=F,2026-09-15 09:35:00,,7655.75,7658.5,7655.25,7656.75,3843
ES=F,2026-09-15 09:36:00,,7656.5,7657.75,7655.5,7657.5,3190
ES=F,2026-09-15 09:37:00,,7657.5,7658.25,7654,7654.75,4974
ES=F,2026-09-15 09:38:00,,7654.75,7654.75,7653,7653.5,3054
ES=F,2026-09-15 09:39:00,,7653.5,7655,7652.5,7653.5,3294
ES=F,2026-09-15 09:40:00,,7653.5,7653.75,7650.75,7651.75,5550
ES=F,2026-09-15 09:41:00,,7652,7653.25,7651.75,7652.75,2876
ES=F,2026-09-15 09:42:00,,7652.75,7653.75,7652.25,7653,3844
ES=F,2026-09-15 09:43:00,,7653,7654.75,7652,7652.25,4153
ES=F,2026-09-15 09:44:00,,7652.5,7654.25,7652.25,7654,3834
ES=F,2026-09-15 09:45:00,,7654.25,7656,7654,7654.75,3863
ES=F,2026-09-15 09:46:00,,7654.75,7655.5,7653.75,7654,2669
ES=F,2026-09-15 09:47:00,,7654.25,7655,7653,7655,3711
