Symbol,Date,VOL,Open,High,Low,Close,Volume
ES=F,2026-09-10 08:27:00,,7597.5,7599.5,7596.5,7599.5,1636
ES=F,2026-09-10 08:28:00,,7599.25,7599.25,7596.25,7598.25,1441
ES=F,2026-09-10 08:29:00,,7598.25,7600.75,7597.75,7598.75,2970
ES=F,2026-09-10 08:30:00,,7599,7603,7596.75,7598.75,12669
ES=F,2026-09-10 08:31:00,,7598.5,7599.25,7595.25,7598.25,9103
ES=F,2026-09-10 08:32:00,,7598,7600.25,7595,7598,7600
ES=F,2026-09-10 08:33:00,,7598,7599.75,7595.75,7599,7081
ES=F,2026-09-10 08:34:00,,7599.25,7601,7596,7596.75,5868
ES=F,2026-09-10 08:35:00,,7597,7601.25,7593.75,7599,8874
ES=F,2026-09-10 08:36:00,,7599,7604.5,7598.75,7602.25,8099
ES=F,2026-09-10 08:37:00,,7602.25,7603.5,7597.25,7599.5,6035
ES=F,2026-09-10 08:38:00,,7599.5,7602.75,7599,7601.75,4789
ES=F,2026-09-10 08:39:00,,7601.75,7604.5,7599.75,7603.5,6666
ES=F,2026-09-10 08:40:00,,7603.25,7606.25,7601.25,7603.75,7192
ES=F,2026-09-10 08:41:00,,7603.75,7606.75,7601.5,7603.75,8103
ES=F,2026-09-10 08:42:00,,7603.75,7606,7600.25,7602.5,4876
ES=F,2026-09-10 08:43:00,,7602.5,7606.25,7602.25,7604,4318
ES=F,2026-09-10 08:44:00,,7604,7605,7599.5,7600.25,5144
ES=F,2026-09-10 08:45:00,,7600.25,7604,7600,7603.75,5264
ES=F,2026-09-10 08:46:00,,7603.75,7607,7603,7606.5,4911
ES=F,2026-09-10 08:47:00,,7606.75,7607.25,7604.5,7606.25,3979
ES=F,2026-09-10 08:48:00,,7606,7606.75,7601.25,7603.5,3936
ES=F,2026-09-10 08:49:00,,7603.5,7609,7602.25,7605.5,7718
ES=F,2026-09-10 08:50:00,,7605.75,7605.75,7597.5,7599.25,4797
ES=F,2026-09-10 08:51:00,,7599.25,7599.25,7591.25,7593.25,6791
ES=F,2026-09-10 08:52:00,,7593.5,7595,7591.5,7594,5819
ES=F,2026-09-10 08:53:00,,7594,7595.25,7592.75,7594,5329
ES=F,2026-09-10 08:54:00,,7594,7596.25,7592,7592.25,4476
ES=F,2026-09-10 08:55:00,,7592.25,7592.75,7588.5,7589.5,6165
ES=F,2026-09-10 08:56:00,,7589.5,7590.5,7587,7590,7707
ES=F,2026-09-10 08:57:00,,7590.25,7592.5,7588.25,7589.75,6368
ES=F,2026-09-10 08:58:00,,7589.5,7590.25,7586.75,7587.25,3757
ES=F,2026-09-10 08:59:00,,7587.25,7588.5,7586,7586.75,2962
ES=F,2026-09-10 09:00:00,,7586.75,7592.25,7586.5,7589.25,7510
ES=F,2026-09-10 09:01:00,,7589.25,7594.75,7589,7594.5,6109
ES=F,2026-09-10 09:02:00,,7594.75,7596.75,7593.5,7594.5,6273
ES=F,2026-09-10 09:03:00,,7594.5,7595.75,7591.75,7595,4929
ES=F,2026-09-10 09:04:00,,7595,7595.25,7591.75,7592,4729
ES=F,2026-09-10 09:05:00,,7592,7593.25,7590.25,7590.75,4345
ES=F,2026-09-10 09:06:00,,7590.75,7592,7590,7590.5,3503
ES=F,2026-09-10 09:07:00,,7590.5,7593,7587.75,7587.75,5340
ES=F,2026-09-10 09:08:00,,7587.75,7588.5,7586.25,7587.5,4776
ES=F,2026-09-10 09:09:00,,7587.5,7587.75,7585.5,7587.5,4069
ES=F,2026-09-10 09:10:00,,7587.5,7589.75,7587,7588.25,5979
ES=F,2026-09-10 09:11:00,,7588.25,7592.25,7586.5,7592,5632
ES=F,2026-09-10 09:12:00,,7592.25,7595,7592,7594.5,4920
ES=F,2026-09-10 09:13:00,,7594.5,7597,7594.5,7595.5,4212
ES=F,2026-09-10 09:14:00,,7595.5,7596,7592,7593,3946
ES=F,2026-09-10 09:15:00,,7592.75,7594.75,7590.5,7594,5286
ES=F,2026-09-10 09:16:00,,7593.75,7597,7592.25,7596,4444
ES=F,2026-09-10 09:17:00,,7596,7596,7591.75,7592.5,4593
ES=F,2026-09-10 09:18:00,,7592.5,7595.75,7592.25,7595.25,3343
ES=F,2026-09-10 09:19:00,,7595.25,7600,7594.75,7599.25,5319
ES=F,2026-09-10 09:20:00,,7599.25,7602,7598.5,7601.25,7523
ES=F,2026-09-10 09:21:00,,7601.25,7603,7599.25,7603,5805
ES=F,2026-09-10 09:22:00,,7602.75,7605.75,7601.25,7605.5,6155
ES=F,2026-09-10 09:23:00,,7605.5,7605.75,7602.25,7603,4384
ES=F,2026-09-10 09:24:00,,7602.75,7620,7601.5,7613,24168
