Symbol,Date,VOL,Open,High,Low,Close,Volume
ES=F,2026-08-31 17:00:00,,7701.25,7702.25,7700.75,7701.25,0
ES=F,2026-08-31 17:01:00,,7701,7702.25,7700,7702,174
ES=F,2026-08-31 17:02:00,,7702.25,7702.5,7701.25,7701.75,218
ES=F,2026-08-31 17:03:00,,7701.5,7701.5,7701.25,7701.5,60
ES=F,2026-08-31 17:04:00,,7702,7702.25,7701.25,7702,88
ES=F,2026-08-31 17:05:00,,7702.25,7702.5,7701.25,7702.25,48
ES=F,2026-08-31 17:06:00,,7702.25,7702.25,7701,7702,66
ES=F,2026-08-31 17:07:00,,7701.75,7702,7701.5,7701.5,166
ES=F,2026-08-31 17:08:00,,7701.25,7702,7701,7702,133
ES=F,2026-08-31 17:09:00,,7701.75,7702.5,7701.75,7702.25,126
ES=F,2026-08-31 17:10:00,,7702.5,7702.75,7702,7702.25,104
ES=F,2026-08-31 17:11:00,,7702.25,7702.5,7701.25,7702.25,343
ES=F,2026-08-31 17:12:00,,7702.5,7702.75,7702,7702,112
ES=F,2026-08-31 17:13:00,,7702,7702.25,7701.75,7702,34
ES=F,2026-08-31 17:14:00,,7701.75,7702.25,7701.5,7702.25,85
ES=F,2026-08-31 17:15:00,,7702.5,7702.5,7702,7702,53
ES=F,2026-08-31 17:16:00,,7702,7702,7701,7701.25,138
ES=F,2026-08-31 17:17:00,,7701.25,7701.75,7701,7701.75,63
ES=F,2026-08-31 17:18:00,,7701.5,7701.5,7701,7701,116
ES=F,2026-08-31 17:19:00,,7700.75,7701.5,7700.75,7701.5,66
ES=F,2026-08-31 17:20:00,,7701.5,7701.5,7701,7701.25,115
ES=F,2026-08-31 17:21:00,,7701.5,7701.5,7701.25,7701.25,29
ES=F,2026-08-31 17:22:00,,7701.25,7701.5,7701.25,7701.25,24
ES=F,2026-08-31 17:23:00,,7701,7701,7701,7701,2
ES=F,2026-08-31 17:24:00,,7701,7702,7701,7701.75,91
ES=F,2026-08-31 17:25:00,,7702,7702,7701.75,7701.75,12
ES=F,2026-08-31 17:26:00,,7701.75,7701.75,7701.75,7701.75,1
ES=F,2026-08-31 17:27:00,,7701.75,7702,7701.25,7702,73
ES=F,2026-08-31 17:28:00,,7702,7702,7701.75,7701.75,3
ES=F,2026-08-31 17:29:00,,7702,7702,7701.5,7701.5,62
ES=F,2026-08-31 17:30:00,,7701.5,7702,7701.25,7701.75,55
ES=F,2026-08-31 17:31:00,,7701.75,7701.75,7701.75,7701.75,16
ES=F,2026-08-31 17:32:00,,7701.75,7702,7701.75,7701.75,39
ES=F,2026-08-31 17:33:00,,7702,7702.25,7701.5,7701.5,71
ES=F,2026-08-31 17:34:00,,7701.75,7702,7701.75,7702,54
ES=F,2026-08-31 17:35:00,,7701.75,7702,7701.75,7702,33
ES=F,2026-08-31 17:36:00,,7702,7702.25,7701.75,7702.25,21
ES=F,2026-08-31 17:37:00,,7702.5,7702.75,7702.25,7702.25,43
ES=F,2026-08-31 17:38:00,,7702,7702,7702,7702,59
ES=F,2026-08-31 17:39:00,,7702,7702.5,7702,7702.25,36
ES=F,2026-08-31 17:40:00,,7702.25,7702.5,7702.25,7702.25,21
ES=F,2026-08-31 17:41:00,,7702.25,7702.25,7701.75,7701.75,28
ES=F,2026-08-31 17:42:00,,7701.75,7702,7701.75,7702,26
ES=F,2026-08-31 17:43:00,,7702,7702,7701.75,7701.75,39
ES=F,2026-08-31 17:44:00,,7701.75,7701.75,7701.5,7701.5,85
