Symbol,Date,VOL,Open,High,Low,Close,Volume
ES=F,2026-09-11 08:27:00,,7667,7667.25,7664.75,7664.75,1252
ES=F,2026-09-11 08:28:00,,7665,7673,7665,7671,5702
ES=F,2026-09-11 08:29:00,,7671,7672.75,7665,7665,3200
ES=F,2026-09-11 08:30:00,,7665,7665.5,7661.25,7663.5,13472
ES=F,2026-09-11 08:31:00,,7663.5,7666,7659.75,7663.25,11809
ES=F,2026-09-11 08:32:00,,7663.25,7669,7662.75,7665.5,8095
ES=F,2026-09-11 08:33:00,,7665.25,7673,7665,7672.25,7589
ES=F,2026-09-11 08:34:00,,7672.25,7676.5,7670.75,7675.5,9125
ES=F,2026-09-11 08:35:00,,7675.25,7677.75,7674.5,7677,10838
ES=F,2026-09-11 08:36:00,,7677.25,7677.75,7672.75,7673.25,7540
ES=F,2026-09-11 08:37:00,,7673.5,7676.75,7673.5,7675.75,8263
ES=F,2026-09-11 08:38:00,,7675.75,7676.25,7672.75,7675.5,5599
ES=F,2026-09-11 08:39:00,,7675.5,7675.75,7671.5,7673.5,4745
ES=F,2026-09-11 08:40:00,,7673.25,7676.5,7664.25,7669.75,15185
ES=F,2026-09-11 08:41:00,,7670,7675,7669.75,7671.75,5931
ES=F,2026-09-11 08:42:00,,7672,7672,7668.25,7671,7251
ES=F,2026-09-11 08:43:00,,7671,7672,7668.25,7670.75,4524
ES=F,2026-09-11 08:44:00,,7670.5,7672.5,7667,7672.25,5848
ES=F,2026-09-11 08:45:00,,7672.5,7673,7667.5,7670.5,6376
ES=F,2026-09-11 08:46:00,,7670.5,7677,7668.75,7671.5,11506
ES=F,2026-09-11 08:47:00,,7671.5,7671.75,7667.5,7669.5,5124
ES=F,2026-09-11 08:48:00,,7669.25,7670.75,7666.25,7666.5,4287
ES=F,2026-09-11 08:49:00,,7666.5,7670,7665.75,7667.75,5175
ES=F,2026-09-11 08:50:00,,7667.5,7670.75,7667.25,7669.25,6887
ES=F,2026-09-11 08:51:00,,7669.5,7669.5,7666,7668.5,5247
ES=F,2026-09-11 08:52:00,,7668.5,7670,7664.75,7666.75,5991
ES=F,2026-09-11 08:53:00,,7666.5,7669.5,7666,7669,4270
ES=F,2026-09-11 08:54:00,,7669,7669,7666.25,7668.75,4089
ES=F,2026-09-11 08:55:00,,7668.75,7672.25,7667.75,7672,4182
ES=F,2026-09-11 08:56:00,,7672,7675.5,7671.75,7674.75,4131
ES=F,2026-09-11 08:57:00,,7674.75,7676.75,7673,7675.75,3551
ES=F,2026-09-11 08:58:00,,7675.5,7677,7674.25,7677,3102
ES=F,2026-09-11 08:59:00,,7677,7682,7676.5,7681,5860
ES=F,2026-09-11 09:00:00,,7681,7681.25,7676.25,7676.25,7529
ES=F,2026-09-11 09:01:00,,7676.25,7678.75,7674,7674,7325
ES=F,2026-09-11 09:02:00,,7674.25,7675.75,7673,7675.5,5118
ES=F,2026-09-11 09:03:00,,7675.5,7676.25,7672,7673.75,7421
ES=F,2026-09-11 09:04:00,,7674,7674.5,7671.25,7672.25,4018
ES=F,2026-09-11 09:05:00,,7672.25,7673.75,7668.75,7668.75,4976
ES=F,2026-09-11 09:06:00,,7669,7671,7667,7668.25,5653
ES=F,2026-09-11 09:07:00,,7668.5,7670.25,7667,7669,5774
ES=F,2026-09-11 09:08:00,,7669.25,7672,7668,7669.75,4681
ES=F,2026-09-11 09:09:00,,7669.75,7672,7668.25,7672,4019
ES=F,2026-09-11 09:10:00,,7672,7674.75,7670.25,7673,5977
ES=F,2026-09-11 09:11:00,,7673,7673,7667.5,7670.25,6438
ES=F,2026-09-11 09:12:00,,7670.25,7670.25,7664.5,7667.75,6340
ES=F,2026-09-11 09:13:00,,7668,7672,7667,7670.25,5937
ES=F,2026-09-11 09:14:00,,7670.25,7670.75,7665,7666.5,5994
ES=F,2026-09-11 09:15:00,,7666.75,7669.25,7666,7667.75,4683
ES=F,2026-09-11 09:16:00,,7667.75,7669,7665,7665.5,4275
ES=F,2026-09-11 09:17:00,,7665.5,7666.75,7664,7666,4038
ES=F,2026-09-11 09:18:00,,7666,7672.75,7665.75,7672.25,4656
ES=F,2026-09-11 09:19:00,,7672.25,7675.5,7671.5,7674.75,5051
ES=F,2026-09-11 09:20:00,,7675,7677,7673.5,7676.25,6600
ES=F,2026-09-11 09:21:00,,7676.5,7677.25,7674.5,7676.25,3322
ES=F,2026-09-11 09:22:00,,7676.25,7678,7675.25,7678,4597
ES=F,2026-09-11 09:23:00,,7678,7678.25,7675.25,7676,5255
ES=F,2026-09-11 09:24:00,,7676,7677,7674.5,7675.25,3431
