SYMBOL,PRICE,LABEL,PENCOLOR,PENWIDTH,PENSTYLE,bDRAWTEXT,bDRAWPRICE,LABELPOS,bCUSTPOS,CUSTPOSALLMARGIN,CUSTPOSLEFTRIGHT,CUSTPOSUNITS,CUSTPOSWIDTH,bBANDS,BANDPENCOLOR,BANDPENWIDTH,BANDPENSTYLE,BANDABOVEBEL,BANDUNITS,BANDPRICE,bBANDS2,BAND2PENCOLOR,BAND2ABOVEBEL,BAND2UNITS,BAND2PRICE,bBANDLABELS,bTRANSLUCENT
EPU26,7802.750000,SPXW KING 100% ~,14926657,3,0,1,1,1,0,0,1,0,50,0,255,1,0,2,1,4.000000,0,16711680,2,1,8.000000,0,0
EPU26,7780.500000,SPY KING 100% ~,13481210,2,1,1,1,1,0,0,1,0,50,0,255,1,0,2,1,4.000000,0,16711680,2,1,8.000000,0,0
